2023-10-27 09:47:18.298 [info] Extension host with pid 4278 started
2023-10-27 09:52:14.153 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.153 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.154 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.154 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.155 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.156 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.157 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.158 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.159 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.159 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.160 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.160 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.161 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.161 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.162 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.162 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.163 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.163 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.163 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.163 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:14.164 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/HDrive' is outside repository\n","exitCode":128}
2023-10-27 09:52:33.922 [warning] [Decorations] CAPPING events from decorations provider vscode.git 1853
2023-10-27 09:53:23.133 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:23.133 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:23.133 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:23.133 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:23.133 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:23.133 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:23.133 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
